iter	Logloss
0	0.6896825625
1	0.6853675274
2	0.6818436158
3	0.6766289282
4	0.6710012413
5	0.666633441
6	0.6625355296
7	0.6587942509
8	0.6549692709
9	0.6509079559
10	0.6475616685
11	0.6436269907
12	0.6394095706
13	0.6362314831
14	0.6327652462
15	0.629497145
16	0.6256718913
17	0.6220363389
18	0.6187816334
19	0.6152260688
20	0.6115502315
21	0.6079453199
22	0.604979032
23	0.6016475612
24	0.5984644124
25	0.5955309816
26	0.5924301952
27	0.5894000445
28	0.5856028721
29	0.5817401938
30	0.5774183029
31	0.5744273382
32	0.5714503135
33	0.5673528548
34	0.5648467523
35	0.5615164066
36	0.5591280242
37	0.5556321541
38	0.5524951152
39	0.5492492715
40	0.5461128771
41	0.5436871394
42	0.5407820641
43	0.5384501465
44	0.5358520601
45	0.5333691806
46	0.5301333082
47	0.5271770835
48	0.5238805769
49	0.5208643614
50	0.518652256
51	0.516515854
52	0.5139118604
53	0.5115452083
54	0.5086496209
55	0.5064637515
56	0.5041858894
57	0.5012013844
58	0.4982254532
59	0.495877106
60	0.493684854
61	0.491949447
62	0.4898186387
63	0.4876361636
64	0.4854414431
65	0.4834782737
66	0.4810681832
67	0.4792361171
68	0.476809428
69	0.4747137255
70	0.472350412
71	0.469305857
72	0.4670843957
73	0.4652035236
74	0.4632395945
75	0.4611766318
76	0.4596900364
77	0.4574763666
78	0.4558835335
79	0.453920849
80	0.4518900436
81	0.4503657766
82	0.4486648397
83	0.446900802
84	0.4450851114
85	0.442803438
86	0.4413478489
87	0.4393556024
88	0.4374165525
89	0.4357073793
90	0.4343419905
91	0.4325638696
92	0.431568713
93	0.4301566238
94	0.428395402
95	0.4265058856
96	0.4245666738
97	0.4225592027
98	0.4212550735
99	0.4198138394
100	0.418213794
101	0.4169948361
102	0.4157477296
103	0.4138713149
104	0.4122449511
105	0.4112409314
106	0.4095746613
107	0.4082323285
108	0.4069804773
109	0.4055652506
110	0.4044691818
111	0.4032601324
112	0.401700661
113	0.4006997351
114	0.3989006296
115	0.3977010145
116	0.3960555759
117	0.3945602823
118	0.3930457524
119	0.3915047192
120	0.389942737
121	0.3887572062
122	0.3872092158
123	0.3855879361
124	0.3844044103
125	0.3828297034
126	0.3813152222
127	0.3802064328
128	0.378966241
129	0.3779908589
130	0.3766732642
131	0.3755756239
132	0.3744100901
133	0.3732461081
134	0.3721198888
135	0.37088726
136	0.370175264
137	0.3691084806
138	0.3682136997
139	0.3667584367
140	0.3658402683
141	0.3646883727
142	0.3638941561
143	0.3627569485
144	0.3613445522
145	0.3606408458
146	0.3593881213
147	0.3584645252
148	0.35736107
149	0.3563511599
150	0.3553136148
151	0.3544888938
152	0.3533109572
153	0.3523397766
154	0.3511761134
155	0.3504491128
156	0.3493416093
157	0.3483290207
158	0.3471994228
159	0.3459789908
160	0.3448267145
161	0.3438285304
162	0.34284312
163	0.3418744342
164	0.3410567837
165	0.339809665
166	0.33915249
167	0.3381658345
168	0.3369964045
169	0.3357500984
170	0.3348290485
171	0.333773263
172	0.3330459133
173	0.3321505452
174	0.3312205814
175	0.3303433783
176	0.3291308954
177	0.328528289
178	0.3277488765
179	0.3271651036
180	0.3264952218
181	0.3257777888
182	0.324980125
183	0.3240437719
184	0.3233948518
185	0.3225666238
186	0.3215739739
187	0.3204973098
188	0.319894853
189	0.3189395096
190	0.3183147889
191	0.3175721959
192	0.3168401722
193	0.3161836772
194	0.3157180957
195	0.3151595163
196	0.3142406975
