iter	Passed	Remaining
0	0	288
1	0	259
2	0	251
3	0	245
4	1	245
5	1	244
6	1	242
7	1	241
8	2	241
9	2	239
10	2	239
11	2	238
12	3	237
13	3	237
14	3	236
15	3	236
16	4	236
17	4	235
18	4	234
19	4	234
20	5	233
21	5	234
22	5	234
23	5	234
24	5	233
25	6	232
26	6	232
27	6	232
28	6	231
29	7	231
30	7	230
31	7	230
32	7	232
33	8	231
34	8	231
35	8	230
36	8	230
37	9	229
38	9	229
39	9	230
40	9	230
41	10	230
42	10	230
43	10	230
44	10	229
45	11	229
46	11	228
47	11	228
48	11	228
49	12	228
50	12	226
51	12	226
52	12	226
53	12	225
54	13	225
55	13	225
56	13	225
57	13	224
58	14	224
59	14	224
60	14	224
61	14	223
62	15	223
63	15	223
64	15	222
65	15	222
66	15	222
67	16	222
68	16	222
69	16	221
70	16	221
71	17	221
72	17	220
73	17	220
74	17	220
75	18	219
76	18	219
77	18	218
78	18	218
79	19	218
80	19	218
81	19	218
82	19	217
83	19	217
84	20	217
85	20	217
86	20	216
87	20	216
88	21	216
89	21	215
90	21	215
91	21	215
92	22	215
93	22	215
94	22	214
95	22	214
96	23	214
97	23	214
98	23	214
99	23	213
100	24	213
101	24	213
102	24	213
103	24	213
104	24	213
105	25	212
106	25	212
107	25	212
108	25	211
109	26	211
110	26	211
111	26	211
112	26	211
113	27	210
114	27	210
115	27	210
116	27	209
117	28	209
118	28	209
119	28	209
120	28	208
121	28	208
122	29	208
123	29	207
124	29	207
125	29	207
126	30	207
127	30	207
128	30	207
129	30	206
130	31	206
131	31	206
132	31	206
133	31	205
134	32	205
135	32	205
136	32	205
137	33	209
138	33	209
139	33	208
140	34	208
141	34	208
142	34	207
143	34	207
144	35	207
145	35	206
146	35	206
147	35	206
148	36	205
149	36	205
150	36	205
151	36	204
152	36	204
153	37	204
154	37	204
155	37	203
156	37	203
157	38	203
158	38	203
159	38	202
160	38	202
161	39	202
162	39	202
163	39	201
164	39	201
165	40	201
166	40	201
167	40	201
168	40	200
169	41	200
170	41	200
171	41	199
172	41	199
173	42	199
174	42	199
175	42	198
176	42	198
177	42	198
178	43	198
179	43	197
180	43	197
181	43	197
182	44	197
183	45	199
184	45	199
185	45	199
186	45	199
187	46	198
188	46	198
189	46	198
190	46	197
191	46	197
192	47	197
193	47	197
194	47	196
195	47	196
196	48	196
197	48	196
198	48	195
199	48	195
200	49	195
201	49	194
202	49	194
203	49	194
204	50	194
205	50	193
206	50	193
207	50	193
208	51	193
209	51	192
210	51	192
211	51	192
212	51	191
213	52	191
214	52	191
215	52	191
216	52	190
217	53	190
218	53	190
219	53	190
220	53	189
221	54	189
222	54	189
223	54	188
224	54	188
225	55	188
226	55	188
227	55	187
228	55	187
229	56	189
230	56	189
231	57	189
232	57	189
233	57	188
234	57	188
235	58	188
236	58	188
237	58	187
238	58	187
239	59	187
240	59	187
241	59	186
242	59	186
243	60	186
244	60	185
245	60	185
246	60	185
247	61	185
248	61	184
249	61	184
250	61	184
251	61	183
252	62	183
253	62	183
254	62	183
255	62	182
256	63	182
257	63	182
258	63	181
259	63	181
260	64	181
261	64	181
262	64	181
263	64	181
264	65	180
265	65	180
266	65	180
267	65	180
268	66	179
269	66	179
270	66	179
271	66	178
272	67	178
273	67	178
274	67	178
275	67	177
276	68	177
277	68	177
278	68	177
279	68	176
280	69	176
281	69	176
282	69	176
283	69	175
284	69	175
285	70	175
286	70	174
287	70	174
288	70	174
289	71	174
290	71	173
291	71	173
292	71	173
293	72	173
294	72	172
295	72	172
296	72	172
297	73	172
298	73	171
299	73	171
300	73	171
301	74	171
302	74	170
303	74	170
304	74	170
305	74	170
306	75	169
307	75	169
308	75	169
309	75	169
310	76	168
311	76	168
312	76	168
313	76	167
314	77	167
315	77	167
316	77	167
317	77	166
318	78	166
319	78	166
320	78	166
321	78	165
322	79	165
323	79	165
324	79	165
325	79	164
326	79	164
327	80	164
328	80	164
329	80	163
330	80	163
331	81	163
332	81	163
333	81	162
334	81	162
335	82	162
336	82	162
337	82	161
338	82	161
339	83	161
340	83	161
341	83	160
342	83	160
343	84	160
344	84	160
345	84	159
346	84	159
347	84	159
348	85	158
349	85	158
350	85	158
351	85	158
352	86	157
353	86	157
354	86	157
355	86	157
356	87	156
357	87	156
358	87	156
359	87	156
360	88	155
361	88	155
362	88	155
363	88	155
364	89	154
365	89	154
366	89	154
367	89	154
368	89	153
369	90	153
370	90	153
371	90	153
372	90	152
373	91	152
374	91	152
375	91	152
376	91	151
377	92	151
378	92	151
379	92	151
380	92	150
381	93	150
382	93	150
383	93	150
384	93	149
385	94	149
386	94	149
387	94	149
388	94	148
389	95	148
390	95	148
391	95	148
392	95	147
393	95	147
394	96	147
395	96	147
396	96	146
397	96	146
398	97	146
399	97	146
400	97	145
401	97	145
402	98	145
403	98	145
404	98	144
405	98	144
406	99	144
407	99	144
408	99	143
409	99	143
410	99	143
411	100	143
412	100	142
413	100	142
414	100	142
415	101	142
416	101	141
417	101	141
418	101	141
419	102	141
420	102	140
421	102	140
422	103	140
423	103	140
424	103	140
425	103	139
426	104	139
427	104	139
428	104	139
429	104	138
430	104	138
431	105	138
432	105	138
433	105	137
434	105	137
435	106	137
436	106	137
437	106	136
438	106	136
439	107	136
440	107	135
441	107	135
442	107	135
443	107	135
444	108	134
445	108	134
446	108	134
447	108	134
448	109	134
449	109	133
450	109	133
451	109	133
452	110	133
453	110	132
454	110	132
455	110	132
456	111	131
457	111	131
458	111	131
459	111	131
460	111	130
461	112	130
462	112	130
463	112	130
464	113	130
465	113	129
466	113	129
467	113	129
468	114	129
469	114	128
470	114	128
471	114	128
472	114	128
473	115	127
474	115	127
475	115	127
476	115	127
477	116	126
478	116	126
479	116	126
